"Year"	"Level"	"Grade"	"District Name"	"District Number"	"School Name"	"School Number"	"Agency Type"	"Agency Key"	"CESA"	"Total Enrollment-WSAS"	"Item Type"	"Subject"	"Subject Code "	"Number Tested on WKCE in Subject"	"Percent of Enrolled who were Tested on WKCE in Subject"	"Standard/Framework Name"	"Standard/Framework Code"	"Filler"	"Item Number"	"Depth of Knowledge"	"Average(SR) Total(CR)"	"Number of Responses(SR) Points Possible(CR)"	"Correct Response"	"State PCNT Correct Response(SR) State Avg(CR)"	"CESA PCNT Correct Response(SR) CESA Avg(CR)"	"District PCNT Correct Response(SR) District Avg(CR)"	"School PCNT Correct Response(SR) School Avg(CR)"	"Difference:  Current Level Minus State(SR)"	"Difference: Current Level Minus CESA(SR)"	"Difference: Current Level Minus District(SR)"	"Number Answering A or F (1)(SR) 0 Points(CR)"	"Number Answering B or G (2)(SR) 1 Point(CR)"	"Number Answering C or H (3)(SR) 2 Points(CR)"	"Number Answering D or J (4)(SR) 3 Points(CR)"	"Number Answering E or K (5)(SR) 4 Points(CR)"	"Number left blank or multiple marks(SR) 5 Points(CR)"	"Unused(SR) Number 6 Points(CR)"	"Unused(SR) Number Left Blank or Erased(CR)"	"Unused(SR) Number Off Topic or Illegible(CR)"	"Percent Answering A or F (1)(SR) 0 Points(CR)"	"Percent Answering B or G (2)(SR) 1 Point(CR)"	"Percent Answering C or H (3)(SR) 2 Points(CR)"	"Percent Answering D or J (4)(SR) 3 Points(CR)"	"Percent Answering E or K (5)(SR) 4 Points(CR)"	"Percent Left blank or multiple marks(SR) 5 Points(CR)"	"Unused(SR) PCNT 6 Points(CR)"	"Unused(SR) PCNT Left Blank or Erased(CR)"	"Unused(SR) PCNT Off Topic or Illegible(CR)"
2014	3	"07"	"21ST CENTURY"	"8110"	"21ST CENTURY PR"	"0100"	"49"	"71863"	"01"	49	"CR"	"Reading"		49	100	"Analyzes Text"	"3.2"		"36"	"3"		" 3"		" 1.5"		" 1.1"	" 1.1"	"-0.4"		" 0.0"	"   17"	"   12"	"   19"	"    1"	"    0"	"    0"	"    0"	"    0"	"    0"	" 35"	" 24"	" 39"	"  2"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"21ST CENTURY"	"8110"	"21ST CENTURY PR"	"0100"	"49"	"71863"	"01"	49	"CR"	"Reading"		49	100	"Analyzes Text"	"3.0"		"000"		"Total"	" 3"		" 1.5"		" 1.1"	" 1.1"	"-0.4"		" 0.0"																		
2014	3	"07"	"21ST CENTURY"	"8110"	"21ST CENTURY PR"	"0100"	"49"	"71863"	"01"	49	"CR"	"Reading"		49	100	"Evaluates/Extends Text"	"4.3"		"56"	"3"		" 3"		" 0.6"		" 0.3"	" 0.3"	"-0.3"		" 0.0"	"   39"	"    4"	"    3"	"    2"	"    0"	"    0"	"    0"	"    1"	"    0"	" 80"	"  8"	"  6"	"  4"	"  0"	"  0"	"  0"	"  2"	"  0"
2014	3	"07"	"21ST CENTURY"	"8110"	"21ST CENTURY PR"	"0100"	"49"	"71863"	"01"	49	"CR"	"Reading"		49	100	"Evaluates/Extends Text"	"4.0"		"000"		"Total"	" 3"		" 0.6"		" 0.3"	" 0.3"	"-0.3"		" 0.0"																		
2014	3	"07"	"21ST CENTURY"	"8110"	"21ST CENTURY PR"	"0100"	"49"	"71863"	"01"	49	"CR"	"Mathematics"		49	100	"Mathematical Processes"			"32B"	"3"		" 2"		" 0.6"		" 0.1"	" 0.1"	"-0.5"		" 0.0"	"   38"	"    7"	"    0"	"    0"	"    0"	"    0"	"    0"	"    4"	"    0"	" 78"	" 14"	"  0"	"  0"	"  0"	"  0"	"  0"	"  8"	"  0"
2014	3	"07"	"21ST CENTURY"	"8110"	"21ST CENTURY PR"	"0100"	"49"	"71863"	"01"	49	"CR"	"Mathematics"		49	100	"Mathematical Processes"	"A.b"		" 4B"	"3"		" 2"		" 1.3"		" 0.8"	" 0.8"	"-0.5"		" 0.0"	"   26"	"    6"	"   16"	"    0"	"    0"	"    0"	"    0"	"    1"	"    0"	" 53"	" 12"	" 33"	"  0"	"  0"	"  0"	"  0"	"  2"	"  0"
2014	3	"07"	"21ST CENTURY"	"8110"	"21ST CENTURY PR"	"0100"	"49"	"71863"	"01"	49	"CR"	"Mathematics"		49	100	"Mathematical Processes"	"A.c"		"29B"	"3"		" 2"		" 1.3"		" 0.8"	" 0.8"	"-0.5"		" 0.0"	"   26"	"    4"	"   17"	"    0"	"    0"	"    0"	"    0"	"    2"	"    0"	" 53"	"  8"	" 35"	"  0"	"  0"	"  0"	"  0"	"  4"	"  0"
2014	3	"07"	"21ST CENTURY"	"8110"	"21ST CENTURY PR"	"0100"	"49"	"71863"	"01"	49	"CR"	"Mathematics"		49	100	"Mathematical Processes"	"A.0"		"000"		"Total"	" 6"		" 3.3"		" 1.7"	" 1.7"	"-1.6"		" 0.0"																		
2014	3	"07"	"21ST CENTURY"	"8110"	"21ST CENTURY PR"	"0100"	"49"	"71863"	"01"	49	"CR"	"Mathematics"		49	100	"Geometry"	"C.a"		"32A"	"1"		" 1"		" 0.5"		" 0.2"	" 0.2"	"-0.3"		" 0.0"	"   38"	"    9"	"    0"	"    0"	"    0"	"    0"	"    0"	"    2"	"    0"	" 78"	" 18"	"  0"	"  0"	"  0"	"  0"	"  0"	"  4"	"  0"
2014	3	"07"	"21ST CENTURY"	"8110"	"21ST CENTURY PR"	"0100"	"49"	"71863"	"01"	49	"CR"	"Mathematics"		49	100	"Geometry"	"C.c"		"29A"	"1"		" 1"		" 0.5"		" 0.1"	" 0.1"	"-0.4"		" 0.0"	"   42"	"    7"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	"    0"	" 86"	" 14"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"	"  0"
2014	3	"07"	"21ST CENTURY"	"8110"	"21ST CENTURY PR"	"0100"	"49"	"71863"	"01"	49	"CR"	"Mathematics"		49	100	"Geometry"	"C.0"		"000"		"Total"	" 2"		" 1.0"		" 0.3"	" 0.3"	"-0.7"		" 0.0"																		
2014	3	"07"	"21ST CENTURY"	"8110"	"21ST CENTURY PR"	"0100"	"49"	"71863"	"01"	49	"CR"	"Mathematics"		49	100	"Statistics/Probability"	"E.b"		"51"	"3"		" 2"		" 0.8"		" 0.3"	" 0.3"	"-0.5"		" 0.0"	"   34"	"   13"	"    1"	"    0"	"    0"	"    0"	"    0"	"    1"	"    0"	" 69"	" 27"	"  2"	"  0"	"  0"	"  0"	"  0"	"  2"	"  0"
2014	3	"07"	"21ST CENTURY"	"8110"	"21ST CENTURY PR"	"0100"	"49"	"71863"	"01"	49	"CR"	"Mathematics"		49	100	"Statistics/Probability"	"E.0"		"000"		"Total"	" 2"		" 0.8"		" 0.3"	" 0.3"	"-0.5"		" 0.0"																		
2014	3	"07"	"21ST CENTURY"	"8110"	"21ST CENTURY PR"	"0100"	"49"	"71863"	"01"	49	"CR"	"Mathematics"		49	100	"Algebraic Relationships"	"F.a"		" 4A"	"2"		" 1"		" 0.7"		" 0.4"	" 0.4"	"-0.3"		" 0.0"	"   29"	"   19"	"    0"	"    0"	"    0"	"    0"	"    0"	"    1"	"    0"	" 59"	" 39"	"  0"	"  0"	"  0"	"  0"	"  0"	"  2"	"  0"
2014	3	"07"	"21ST CENTURY"	"8110"	"21ST CENTURY PR"	"0100"	"49"	"71863"	"01"	49	"CR"	"Mathematics"		49	100	"Algebraic Relationships"	"F.0"		"000"		"Total"	" 1"		" 0.7"		" 0.4"	" 0.4"	"-0.3"		" 0.0"																		
